titles,location,experience,domaine,contrat,salaire,etude,Unnamed: 0,more_info
Chargé(e) de paie & Administration du personnel,Casablanca ,Pas neccessaire,Ressources Humaines / Recrutement / Intérim,A discuter,A discuter,Bac plus 3,,
electricien/Chargé en Electricité,Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Assistante Gouvernante,Midelt ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 3,,
Audite,Midelt ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 3,,
Web developer;  Mobile developer;  UI/Ux developer,Rabat ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 3,,
Réceptionniste,Midelt ,2 ans,Tourisme / Hôtellerie / Restauration,CDI,A discuter,Bac plus 2,,
Technicien Réseaux Informatique,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 3,,
Agent de communication,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,CDI,4 000 - 6 000 DH,Bac plus 4,,
Ingénieur Génie Civil/Technicien génie civile,Rabat ,Pas neccessaire,Construction / Btp,A discuter,A discuter,Bac plus 5,,
Videur Africain ,Casablanca ,Pas neccessaire,Sécurité / Surveillance / Gardiennage,CDD,A discuter,Pas important,,
Assistante responsable des appels d'offres,Rabat ,Pas neccessaire,Construction / Btp,A discuter,A discuter,Bac plus 3,,
vendeur/vendeuse,Marrakech ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Chef de partie,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,4 000 - 6 000 DH,Niveau Bac,,
Coursier,Bouznika ,Pas neccessaire,Construction / Btp,A discuter,A discuter,Niveau Bac,,
Caissier/Caissière,Salé ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Niveau Bac,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,A discuter,A discuter,Pas important,,
Assistant(e) de direction,Rabat ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
Assistant(e) juridice/Juriste,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Droit / Justice / Association,A discuter,A discuter,Bac plus 3,,
Animateur,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,6 ans,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 3,,
Réceptionniste,Fès ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,Stage,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Tout le Maroc / A distance ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,Commission,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Automobile,CDI,A discuter,Pas important,,
Compatble/ assistant(e) comptable,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 2,,
Agent maitrisant excel (h/f),Casablanca ,Pas neccessaire,Commercial / Vente,Interim,A discuter,Bac plus 3,,
Assistant(e) de direction,Casablanca ,Pas neccessaire,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 3,,
Responsable/Administrateur des ventes,Casablanca ,Pas neccessaire,Commercial / Vente,Interim,A discuter,Bac plus 2,,
Soudeur,Casablanca ,2 ans,Industrie / Ingénierie / Energie,CDI,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Automobile,CDI,Plus de 20 000 DH,Bac plus 5,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,5 ans,Commercial / Vente,CDI,A discuter,Bac plus 5,,
Technicien Réseaux Informatique,Casablanca ,Pas neccessaire,Informatique / Multimédia / Internet,Interim,A discuter,Bac plus 2,,
serveur/serveuse,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 3,,
Chef de partie,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,6 000 - 8 000 DH,Pas important,,
Développeur Web,Tanger ,5 ans,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 3,,
Responsable qualité/Ingénieur de Qualité,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 5,,
Professeur,Tanger ,Pas neccessaire,Education / Social / Petite Enfance,A discuter,A discuter,Bac plus 3,,
Professeur,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Mohammedia ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,CDI,A discuter,Bac plus 2,,
Délégué,Marrakech ,Pas neccessaire,Santé / Médical,CDI,A discuter,Bac plus 3,,
Agent de Facturation,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 3,,
TECHNICIEN D'INJECTION PLASTIC (REGLEUR MACHINE),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Maintenance / Entretien,A discuter,A discuter,Pas important,,
Chef de projet,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Autre,A discuter,A discuter,Bac plus 5,,
chargé portefeuille,Nador ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,4 000 - 6 000 DH,Bac plus 2,,
assistant(e) dentaire,Casablanca ,2 ans,Santé / Médical,CDI,A discuter,Bac plus 2,,
Contrôleur,Marrakech ,Pas neccessaire,Agriculture / Environnement / Espaces Verts,CDI,A discuter,Bac plus 4,,
chargé portefeuille,Safi ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
Magasinier,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Agriculture / Environnement / Espaces Verts,CDI,A discuter,Bac plus 3,,
chargé portefeuille,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
femme de ménage,Casablanca ,Pas neccessaire,Autre,A discuter,2 000 - 3 000 DH,Pas important,,
chargé portefeuille,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
chargé portefeuille,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Banque / Finance / Assurance,CDI,3 000 - 4 000 DH,Bac plus 2,,
Esthéticiennes,Marrakech ,Pas neccessaire,Santé / Médical,CDD,A discuter,Bac plus 2,,
Consultant,Benguerir ,Pas neccessaire,Commercial / Vente,A discuter,Commission,Bac plus 3,,
Maitre(sse)/educatrice/Enseignante,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 3,,
cableur,Berrechid ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,CDD,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 2,,
Team Leader,Settat ,Pas neccessaire,Commercial / Vente,CDI,A discuter,Bac plus 3,,
Conseiller/Chargé clientèle,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Marketing / Communication / Publicité / Rp,CDI,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Pas important,,
Agent d'exploitation,Agadir ,2 ans,Transport / Achat / Logistique,CDI,3 000 - 4 000 DH,Bac plus 2,,
vendeur/vendeuse,Bouskoura ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,A discuter,A discuter,Niveau Bac,,
Gestionnaire,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,Interim,2 000 - 3 000 DH,Bac plus 2,,
Traducteur,Casablanca ,Pas neccessaire,Autre,A discuter,A discuter,Bac plus 3,,
RH/ assistant(e) RH,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Ressources Humaines / Recrutement / Intérim,CDI,A discuter,Bac plus 3,,
vendeur/vendeuse,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,CDI,A discuter,Niveau Bac,,
Consultant,Fès ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 2,,
AUTOMATICIEN INDUSTRIEL Sénior ,Casablanca ,Pas neccessaire,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 2,,
Consultant,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 5,,
Distributeur,Fès ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,A discuter,A discuter,Bac plus 5,,
Compatble/ assistant(e) comptable,Rabat ,5 ans,Comptabilité / Gestion / Audit,CDI,8 000 - 10 000 DH,Bac plus 5,,
Caissier/Caissière,Salé ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Niveau Bac,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,2 ans,Commercial / Vente,CDI,A discuter,Pas important,,
Consultant,Tout le Maroc / A distance ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,CDI,A discuter,Pas important,,
Agent d'opération,Tout le Maroc / A distance ,4 ans,Informatique / Multimédia / Internet,CDI,A discuter,Bac plus 4,,
Compatble/ assistant(e) comptable,Casablanca ,3 ans,Comptabilité / Gestion / Audit,CDI,3 000 - 4 000 DH,Bac plus 3,,
Animateur,Temara ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,Interim,3 000 - 4 000 DH,Bac plus 2,,
Technicien Réseaux Informatique,Temara ,5 ans,Industrie / Ingénierie / Energie,CDI,4 000 - 6 000 DH,Bac plus 2,,
Technicien en Maintenance,Rabat ,3 ans,Industrie / Ingénierie / Energie,CDI,4 000 - 6 000 DH,Bac plus 2,,
Barman,Casablanca ,2 ans,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 2,,
technicien pour détail d'exécution ,Marrakech ,Pas neccessaire,Urbanisme / Architecture / Aménagement,A discuter,A discuter,Bac plus 3,,
Chargé du centre de carrières,Casablanca ,2 ans,Commercial / Vente,CDI,4 000 - 6 000 DH,Bac plus 3,,
Soudeur,Casablanca ,Pas neccessaire,Automobile,A discuter,A discuter,Niveau Bac,,
Agent de Facturation,Casablanca ,2 ans,Comptabilité / Gestion / Audit,CDD,3 000 - 4 000 DH,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,CDI,6 000 - 8 000 DH,Bac plus 3,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 5,,
Agent de gardiennage,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Sécurité / Surveillance / Gardiennage,CDD,2 000 - 3 000 DH,Niveau Bac,,
Gestionnaire,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Services à La Personne,CDI,6 000 - 8 000 DH,Bac plus 4,,
Assistant(e) administrative,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,CDI,A discuter,Bac plus 2,,
cuisinier,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Autre,A discuter,A discuter,Pas important,,
vendeur/vendeuse,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Grande Distribution,A discuter,A discuter,Niveau Bac,,
Magasinier,Marrakech ,Pas neccessaire,Agriculture / Environnement / Espaces Verts,CDI,4 000 - 6 000 DH,Pas important,,
ASSISTANTE,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Mohammedia ,Pas neccessaire,Comptabilité / Gestion / Audit,Stage,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 3,,
Contrôleur,Casablanca ,Pas neccessaire,Automobile,CDI,A discuter,Bac plus 2,,
fabrication mécanique/Mécanicien,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Maintenance / Entretien,Interim,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,6 ans,Industrie / Ingénierie / Energie,CDI,A discuter,Bac plus 5,,
Expert engins de manutention,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,CDI,A discuter,Pas important,,
Distributeur,Casablanca ,8 ans,Automobile,CDI,A discuter,Bac plus 5,,
Agent d'opération,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Automobile,CDI,A discuter,Bac plus 5,,
Gestionnaire,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Construction / Btp,A discuter,A discuter,Bac plus 3,,
IT,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 2,,
Coordinateur pédagogique/Business,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Education / Social / Petite Enfance,CDI,A discuter,Bac plus 3,,
secrétaire,Tanger ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,3 000 - 4 000 DH,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Pas neccessaire,Comptabilité / Gestion / Audit,A discuter,A discuter,Bac plus 2,,
fabrication mécanique/Mécanicien,Mohammedia ,5 ans,Maintenance / Entretien,CDI,A discuter,Bac plus 2,,
Agent de bureau/Agent Administratif,Rabat ,Pas neccessaire,Commercial / Vente,CDI,3 000 - 4 000 DH,Bac plus 3,,
Magasinier,Meknès ,3 ans,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 2,,
HSE/QHSE,Tout le Maroc / A distance ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Bac plus 3,,
Chargé ADV,Casablanca ,3 ans,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 4,,
Logistique et transport,Casablanca ,2 ans,Grande Distribution,CDD,A discuter,Pas important,,
Maitre(sse)/educatrice/Enseignante,Casablanca ,Pas neccessaire,Education / Social / Petite Enfance,CDI,A discuter,Pas important,,
secrétaire,Casablanca ,3 ans,Accueil / Secrétariat / Administration,A discuter,A discuter,Bac plus 2,,
Technicien en Maintenance,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,Interim,A discuter,Bac plus 2,,
Coursier,Casablanca ,2 ans,Banque / Finance / Assurance,Interim,A discuter,Bac plus 2,,
Commercial(e)/ assistant(e) commerciale(e),Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,A discuter,Bac plus 3,,
Aide general(e),Tanger ,Pas neccessaire,Autre,Stage,2 000 - 3 000 DH,Bac plus 2,,
Manager H/F Marrakech ,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,4 000 - 6 000 DH,Bac plus 2,,
Compatble/ assistant(e) comptable,Tanger ,1 ans,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 3,,
Technicien Réseaux Informatique,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Pas important,,
Réceptionniste,Tout le Maroc / A distance ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,A discuter,Pas important,,
l'investissements dans le domaine d'assainissement,Rabat ,Pas neccessaire,Autre,CDI,A discuter,Bac plus 5,,
Responsable qualité/Ingénieur de Qualité,Rabat ,3 ans,Autre,CDI,A discuter,Bac plus 5,,
Administrateur des Systèmes UNIX,Rabat ,4 ans,Autre,CDI,A discuter,Bac plus 5,,
Suivi hypothèses et l'équilibre économique,Rabat ,5 ans,Autre,CDI,A discuter,Bac plus 5,,
Technicien Réseaux Informatique,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Informatique / Multimédia / Internet,A discuter,A discuter,Bac plus 5,,
assistant(e) dentaire,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Secteur Public,A discuter,A discuter,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Kénitra ,Pas neccessaire,Immobilier,A discuter,A discuter,Bac plus 2,,
Technicien en Maintenance,Agadir ,Deja Expérience/expérimentées/Premiere experiences ,Maintenance / Entretien,CDD,3 000 - 4 000 DH,Bac plus 2,,
Agent de bureau/Agent Administratif,Agadir ,3 ans,Droit / Justice / Association,CDI,A discuter,Bac plus 3,,
Profil Biologiste,Casablanca ,Pas neccessaire,Biologie / Chimie / Pharmaceutique,CDI,A discuter,Pas important,,
Responsable eau potable,Rabat ,8 ans,Autre,CDI,A discuter,Bac plus 5,,
Manager H/F Tanger,Tanger ,Deja Expérience/expérimentées/Premiere experiences ,Tourisme / Hôtellerie / Restauration,CDI,4 000 - 6 000 DH,Bac plus 2,,
vendeur/vendeuse,Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,CDI,3 000 - 4 000 DH,Bac plus 2,,
Agent d'accueil/Hotesse d'acceuil,Marrakech ,Pas neccessaire,Accueil / Secrétariat / Administration,CDI,3 000 - 4 000 DH,Bac plus 2,,
Tiragiste,Marrakech ,Pas neccessaire,Biologie / Chimie / Pharmaceutique,A discuter,A discuter,Niveau Bac,,
Marketing digital/Web-markteur,Rabat ,Pas neccessaire,Marketing / Communication / Publicité / Rp,A discuter,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Bouskoura ,Deja Expérience/expérimentées/Premiere experiences ,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,Deja Expérience/expérimentées/Premiere experiences ,Comptabilité / Gestion / Audit,CDI,3 000 - 4 000 DH,Bac plus 3,,
Commercial(e)/ assistant(e) commerciale(e),Bouskoura ,2 ans,Industrie / Ingénierie / Energie,A discuter,A discuter,Bac plus 3,,
Chef de partie,Casablanca ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
Délégué,Rabat ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,A discuter,3 000 - 4 000 DH,Bac plus 2,,
vendeur/vendeuse,Rabat ,Pas neccessaire,Commercial / Vente,A discuter,A discuter,Bac plus 2,,
Développeur Web,Marrakech ,2 ans,Informatique / Multimédia / Internet,CDI,8 000 - 10 000 DH,Pas important,,
Commercial(e)/ assistant(e) commerciale(e),Marrakech ,Deja Expérience/expérimentées/Premiere experiences ,Commercial / Vente,CDI,A discuter,Pas important,,
Gérant,Marrakech ,Pas neccessaire,Tourisme / Hôtellerie / Restauration,A discuter,A discuter,Pas important,,
electricien/Chargé en Electricité,Casablanca ,Pas neccessaire,Construction / Btp,Interim,A discuter,Bac plus 2,,
Compatble/ assistant(e) comptable,Casablanca ,5 ans,Comptabilité / Gestion / Audit,CDI,A discuter,Bac plus 5,,
